date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:19	20650/20650	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Apr%202024%2017:26:36%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/blog-single.html	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/blog-single.html	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:20	28411/28411	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202024%2019:17:48%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/team.html	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/team.html	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:21	26291/26291	---M--	200	added ('OK')	text/html	date:Fri,%2026%20Apr%202024%2002:01:16%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/team-single.html	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/team-single.html	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:22	25896/25896	---M--	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2022:31:10%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/faqs.html	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/faqs.html	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:23	11810/11810	---M--	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2022:31:14%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/404.html	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/404.html	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:24	17372/17372	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202024%2018:33:42%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/contact.html	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/contact.html	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:25	24577/24577	---M--	200	added ('OK')	text/html	date:Fri,%2026%20Apr%202024%2001:58:06%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/appointment.html	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/appointment.html	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:26	33252/33252	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Apr%202024%2001:41:14%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/about-footer-img.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/about-footer-img.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:27	2593/2593	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Apr%202024%2000:14:50%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/signature.png	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/signature.png	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:29	97432/97432	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Apr%202024%2001:06:28%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/page-about-us-img-1.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/page-about-us-img-1.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:31	94786/94786	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Apr%202024%2001:01:32%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/page-about-us-img-2.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/page-about-us-img-2.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:31	179422/179422	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Apr%202024%2001:31:00%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/improving-img.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/improving-img.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:31	1864/1864	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2013%20Apr%202024%2001:39:22%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/icon-service-1.svg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/icon-service-1.svg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:32	1864/1864	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2013%20Apr%202024%2001:49:10%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/icon-service-white-1.svg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/icon-service-white-1.svg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:33	2476/2476	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2013%20Apr%202024%2001:52:48%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/icon-service-2.svg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/icon-service-2.svg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:34	2472/2472	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2013%20Apr%202024%2001:51:30%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/icon-service-white-2.svg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/icon-service-white-2.svg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:35	10881/10881	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2013%20Apr%202024%2001:41:08%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/icon-service-3.svg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/icon-service-3.svg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:36	10881/10881	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2013%20Apr%202024%2001:51:10%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/icon-service-white-3.svg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/icon-service-white-3.svg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:37	4132/4132	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2013%20Apr%202024%2018:06:26%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/icon-health-service.svg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/icon-health-service.svg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:38	7472/7472	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2013%20Apr%202024%2021:49:54%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/icon-appointment.svg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/icon-appointment.svg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:40	136868/136868	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Apr%202024%2022:39:42%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/team-1.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/team-1.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:41	171178/171178	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Apr%202024%2002:26:58%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/team-2.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/team-2.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:41	131239/131239	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Apr%202024%2022:46:14%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/team-3.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/team-3.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:43	128001/128001	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Apr%202024%2022:50:50%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/team-4.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/team-4.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:43	6684/6684	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Apr%202024%2002:16:16%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/author-1.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/author-1.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:44	6235/6235	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Apr%202024%2002:11:16%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/author-2.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/author-2.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:45	19425/19425	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Apr%202024%2000:53:30%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/author-3.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/author-3.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:46	5808/5808	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Apr%202024%2002:13:24%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/author-4.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/author-4.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:48	278774/278774	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Apr%202024%2001:42:52%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/post-1.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/post-1.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:49	192843/192843	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Apr%202024%2001:44:38%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/post-2.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/post-2.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
16:14:49	243504/243504	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Apr%202024%2001:45:40%20GMT	https://demo.awaikenthemes.com/html-preview/medipro/images/post-3.jpg	/home/husnain/websites/shipment-site/demo.awaikenthemes.com/html-preview/medipro/images/post-3.jpg	(from https://demo.awaikenthemes.com/html-preview/medipro/about.html)
